"add bot to your server","http://bit.ly/invite-pss-statistics"
"aiguide","http://thepssguide.byethost15.com"
"facebook","https://www.facebook.com/pixelstarships"
"github","https://github.com/PieInTheSky-Inc/pss-statistics"
"github (original dolores)","https://github.com/jzx3/heroku-pss"
"instagram","https://www.instagram.com/pixelstarships"
"official discord","https://discord.gg/pss"
"orion boards","http://orions.boards.net"
"pixel perfect guide","https://www.pixelperfectguide.com"
"pixel starships","https://www.pixelstarships.com"
"pixyship","http://pixyship.com"
"tumblr","http://pixelstarships.tumblr.com/"
"twitter","https://twitter.com/pixelstarships"
"wiki","https://pixelstarships.wikia.com"
